job_title,company_name,city,fully_anonymous,posting_date_parsed,days_since_posted,primary_category,job_domain,job_domain_group,career_level,years_exp_min,years_exp_max,education_level,contract_type,workplace_mode,is_full_time,is_part_time,is_freelance,is_remote,is_hybrid,is_onsite,salary_disclosed,sal_min,sal_max,sal_min_egp,sal_max_egp,currency,pay_period,technical_skills,soft_skills,skill_count,job_categories
Key Management & Data Preparation Specialist,Efada Technology,Cairo,False,2026-04-07 00:00:00,12,IT/Software,Quality,QA/Testing,Experienced (Non-Manager),2,4,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Pci-Dss, Emv, Twcf, Cms, Hsm, Microsoft Office, Computer Science']","Customer Support, Communication",7,IT/Software Development | Quality
Salesforce Administrator,CSI,Cairo,False,2026-04-07 00:00:00,12,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),2,4,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Crm, Salesforce, Business Administration']",,3,IT/Software Development
Full Stack Software Developer,Modupay,Sharqia,False,2026-04-07 00:00:00,12,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),1,3,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Angular, Information Technology (It), Programming, Javascript, Html, Css, Node.Js, Restful Apis, Database Management, Sql, Git, Problem Solving']",,12,IT/Software Development | Engineering - Telecom/Technology | Engineering - Other
Software Project Coordinator,qTech.,Dakahlia,False,2026-04-07 00:00:00,12,IT/Software,Project/Program Management,IT Management,Experienced (Non-Manager),2,5,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It), Project']",Project Management,3,IT/Software Development | Project/Program Management
Technical Support Specialist - Beni Suef,EELU,Beni Suef,False,2026-04-07 00:00:00,12,Customer,Customer Service/Support,IT Support,Entry Level (Junior Level / Fresh Grad),1,2,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Customer Support, Technical Support']",,2,Customer Service/Support | IT/Software Development
Senior .NET Developer,qTech.,Dakahlia,False,2026-04-07 00:00:00,12,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,7,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It), Html5, Jquery, Mvc.Net, Asp Web, Api 2']",,7,IT/Software Development
Senior Frontend Developer,FirstTech,Cairo,False,2026-04-07 00:00:00,12,Business,Business Development,IT Sales,Experienced (Non-Manager),8,15,Bachelor's Degree,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Typescript, React, React Native, Javascript, Vue.Js, Redux, Developer, Front-End Development']",,8,Business Development | IT/Software Development | Engineering - Telecom/Technology
Laravel Developer,Al Ghad TV,Giza,False,2026-04-07 00:00:00,12,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,7,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Php+, Laravel Framework, Laravel Rest Apis, Laravel Queues, Laravel Scheduler, Authentication Systems (Jwt / Oauth), Mysql / Postgresql, Git, Ci/Cd Pipelines, Docker Or Container-Based Environments, Linux Server Environment, Nginx / Apache, Mysql, Cms, Devops']",,15,IT/Software Development
Senior AI Engineer,Fixed Solutions,Cairo,False,2026-04-07 00:00:00,12,IT/Software,Engineering - Mechanical/Electrical,Other IT,Experienced (Non-Manager),3,3,No Degree Requirement Listed,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Computer Science, Information Technology (It), Software Development']",,3,IT/Software Development | Engineering - Telecom/Technology | Engineering - Mechanical/Electrical
Senior Android Developer,Madar Soft,Alexandria,False,2026-04-07 00:00:00,12,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),5,6,No Degree Requirement Listed,Full Time,Fully Remote,True,False,False,True,False,False,False,,,,,,,"['Android, Computer Science']",,2,IT/Software Development | Engineering - Telecom/Technology
Odoo Implementer,National Technology,Cairo,False,2026-04-07 00:00:00,12,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),1,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Accounting, English, Erp, Information Technology (It), Odoo, Planning, Telecom Engineering']",,7,IT/Software Development | Engineering - Telecom/Technology
Project Manager,Brand Connection,Alexandria,False,2026-04-07 00:00:00,12,Engineering,Engineering - Construction/Civil/Architecture,Other IT,Manager,5,10,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Project, Planning, Communication']",Project Management,3,Engineering - Construction/Civil/Architecture | IT/Software Development | Project/Program Management
Senior Full-Stack Engineer,BasharSoft,Cairo,False,2026-04-07 00:00:00,12,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,5,No Degree Requirement Listed,Full Time,Fully Remote,True,False,False,True,False,False,False,,,,,,,"['Fullstack, Nodejs']",,2,IT/Software Development
Sales Engineer,Brand Connection,Cairo,False,2026-04-07 00:00:00,12,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),2,3,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Technical Sales, Networking, Solution Selling, Customer Relationship Management, Proposal Writing, Presentation Skills, Product Demonstration, Market Research']","Negotiation, Time Management",8,IT/Software Development | Engineering - Telecom/Technology
Site Network Engineer,Mediterranean for Integrated Solutions (Meditec),Cairo,False,2026-04-07 00:00:00,12,IT/Software,Engineering - Mechanical/Electrical,Other IT,Entry Level (Junior Level / Fresh Grad),0,5,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Network, Information Technology (It), Networking']",,3,IT/Software Development | Engineering - Telecom/Technology | Engineering - Mechanical/Electrical
Senior Odoo Developer,Arma-HSA,Cairo,False,2026-04-06 00:00:00,13,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,5,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Odoo, Information Technology (It), Agile, Css, Html5, Javascript']",,6,IT/Software Development
Front End Developer,Skarpt Company,Giza,False,2026-04-06 00:00:00,13,Creative/Design/Art,Creative/Design/Art,Design/UX,Entry Level (Junior Level / Fresh Grad),0,2,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It), Javascript, Typescript, Angular, Ionic, Css, Html, Web Development, Responsive Design, Git, Ui/Ux Principles, Debugging']",Problem Solving,13,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology
Senior QC Engineer,MTS-IT,Cairo,False,2026-04-06 00:00:00,13,IT/Software,Quality,QA/Testing,Experienced (Non-Manager),2,5,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Sql, Agile, Information Technology (It), Testing, Automation']",,6,IT/Software Development | Quality
Business Intelligence Engineer,RISEUP (Endemag for Administrative Skills Development),Cairo,False,2026-04-06 00:00:00,13,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),4,7,Bachelor's Degree,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Business Intelligence, Information Technology (It), Python, Sql']",,4,IT/Software Development | Engineering - Telecom/Technology
Microsoft Dynamics 365 Administrator,Misr Elkheir Foundation,Cairo,False,2026-04-06 00:00:00,13,Administration,Administration,Other IT,Experienced (Non-Manager),2,2,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Microsoft Dynamics, Dynamics 365, Information Technology (It), Dynamics, Erp, Maintenance, Troubleshooting, Azure']",,8,Administration | IT/Software Development | Engineering - Telecom/Technology
UI/UX Developer (Native CSS & JavaScript),Prismatecs,Cairo,False,2026-04-06 00:00:00,13,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),0,5,No Degree Requirement Listed,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Computer Science, Html, Css, Jquery, Cms, Mysql, Front End, Javascript, Front-End Development']",,9,IT/Software Development | Engineering - Telecom/Technology
Senior LAMP (PHP) Full Stack Developer,Prismatecs,Cairo,False,2026-04-06 00:00:00,13,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,7,No Degree Requirement Listed,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Computer Science, Full Stack, Html, Css, Erp, Jquery, Php, Cms, Mysql, Front End, Back End, Javascript, Back-End Development, Front-End Development']",,14,IT/Software Development | Engineering - Telecom/Technology
Junior LAMP (PHP) Full Stack Developer,Prismatecs,Cairo,False,2026-04-06 00:00:00,13,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),0,3,No Degree Requirement Listed,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Computer Science, Full Stack, Html, Css, Erp, Jquery, Php, Cms, Mysql, Front End, Back End, Javascript, Back-End Development, Front-End Development']",,14,IT/Software Development | Engineering - Telecom/Technology
SAP HCM & SF Consultant,Arma-HSA,Cairo,False,2026-04-06 00:00:00,13,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Sap S/4Hana, Hcm, Information Technology (It), Sap']",,4,IT/Software Development
IT Help Desk Specialist,Global Contracting & Steel Structure,Cairo,False,2026-04-05 00:00:00,14,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),2,5,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It)']",,2,IT/Software Development | Engineering - Telecom/Technology
IT Specialist,BI-Technologies,Cairo,False,2026-04-05 00:00:00,14,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Entry Level (Junior Level / Fresh Grad),1,3,Bachelor's Degree,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Information Technology (It), Saas, Virtualization Technologies, Cloud Computing, Microsoft Operating Systems, Mcse, Ccna, Firewall Systems, Fortigate, Sonicwall']",,10,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology
Technical Team Lead – Full-Stack (.NET & Angular),DynaSystems,Cairo,False,2026-04-05 00:00:00,14,IT/Software,Pure IT,Core IT,Manager,5,7,No Degree Requirement Listed,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Full Stack Development, Tech Lead, Team Leadership, .Net, Angular, Information Technology (It)']",,6,IT/Software Development
Business Intelligence Head,Confidential,Cairo,True,2026-04-05 00:00:00,14,IT/Software,Analyst/Research,Data/Analytics,Manager,8,12,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Business Intelligence, Business Administration, Data Analytics, Business Informatics, Reporting, Information Technology (It), Dax, Power Bi, Sql']",,9,IT/Software Development | Analyst/Research
Desktop Developer,Kuwait office for charity projects,Cairo,False,2026-04-05 00:00:00,14,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,7,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It), Sql, Vb.Net, Wpf']",,5,IT/Software Development
IT Operation Specialist,Hayat,Giza,False,2026-04-05 00:00:00,14,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It), Lan, Network, Troubleshooting, Wan']",,6,IT/Software Development
Technical Software Project Manager,MTS-IT,Cairo,False,2026-04-04 00:00:00,15,IT/Software,Project/Program Management,IT Management,Experienced (Non-Manager),3,8,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Information Technology (It), Professional Scrum Master, Software Product Owner, Computer Science']",Project Management,4,IT/Software Development | Project/Program Management
Freelance Web Designer,Confidential,Cairo,True,2026-04-04 00:00:00,15,Creative/Design/Art,Creative/Design/Art,Design/UX,Experienced (Non-Manager),3,3,Bachelor's Degree,Freelance,Fully Remote,False,False,True,True,False,False,False,,,,,,,"['Design, Ui/Ux, Ui Design, Html5, Bootstrap, Css, Web Design, Web Development, Web, Information Technology (It)']",,10,Creative/Design/Art | IT/Software Development
Odoo Developer,Anecdote agency,Cairo,False,2026-04-04 00:00:00,15,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,7,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Odoo, Python, Information Technology (It), Api, Odoo Development, Orm, Postgresql, Xml']",,9,IT/Software Development | Engineering - Telecom/Technology
Information Technology Operations Manager,Confidential,Cairo,True,2026-04-04 00:00:00,15,IT/Software,Pure IT,Core IT,Manager,18,18,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Information Technology (It), Cybersecurity, Network Administration, System Administration, Itil, Pmp']",,6,IT/Software Development
System Analyst Lead,Link Development,Cairo,False,2026-04-03 00:00:00,16,IT/Software,Analyst/Research,Data/Analytics,Manager,5,10,Bachelor's Degree,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Business Analysis, Information Technology (It), System Analysis']",,3,IT/Software Development | Analyst/Research | Engineering - Telecom/Technology
Software Engineer,Confidential,Cairo,False,2026-04-03 00:00:00,16,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),0,8,Bachelor's Degree,Full Time,Fully Remote,True,True,False,True,False,False,True,1000.0,5000.0,50900.0,254500.0,USD,Month,"['Software Engineering, Information Technology (It)']",,2,IT/Software Development
Senior Data Scientist,Vertex Technologies,Cairo,False,2026-04-03 00:00:00,16,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),5,5,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['English B2, Machine Learning, Statistical Analysis, Python, Gradient Boosting Algorithms, Llm, Generative Ai Technologies, Big Data Technologies']",,8,IT/Software Development
ERP IT Technical Support Specialist,Compu master,Cairo,False,2026-04-02 00:00:00,17,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Entry Level (Junior Level / Fresh Grad),1,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Information Technology (It), Technical Support, Vmware, Hardware, Linux, Dns, Microsoft, Troubleshooting, Os Security, Security']",Customer Support,10,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology
Quality Assurance Associate,Mico World Limited,Cairo,False,2026-04-02 00:00:00,17,IT/Software,Quality,QA/Testing,Experienced (Non-Manager),3,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,True,15000.0,20000.0,97500.0,130000.0,HKD,Month,"['Quality Assurance, Quality Control']",,2,IT/Software Development | Quality | Engineering - Telecom/Technology
AI Developer (Python) - Mid Level,Afaqy,Cairo,False,2026-04-02 00:00:00,17,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,6,No Degree Requirement Listed,Full Time,Hybrid,True,False,False,False,True,False,True,15000.0,70000.0,15000.0,70000.0,EGP,Month,"['Python, Machine Learning, Deep Learning, Llm, Langgraph']",,5,IT/Software Development
Cyber Security Engineer,Saudi German Hospital,Cairo,False,2026-04-02 00:00:00,17,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),5,10,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Cybersecurity, Information Technology (It), Security, Fortinet, Information Security, Cisco, Linux, Network, Network Security, Siem']",,11,IT/Software Development
Mid Level Frontend Developer,EVUNITY,Giza,False,2026-04-02 00:00:00,17,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,5,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Css, Html, C++, Javascript, Java, React Native, React Js, Css3, Git, Html5, Information Technology (It), React, Software Development']",,13,IT/Software Development | Engineering - Other
Software Architect,Boysen Egypt,Giza,False,2026-04-02 00:00:00,17,R&D/Science,R&D/Science,Other IT,Experienced (Non-Manager),4,6,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Engineering, Information Technology (It), C/C++, Architecture, Architectural Engineering, Architecture Design, Architectural Design, Can']",,8,R&D/Science | IT/Software Development
Software Engineer,Boysen Egypt,Giza,False,2026-04-02 00:00:00,17,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,5,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It), C/C++, Can, Paython']",,5,IT/Software Development | Engineering - Telecom/Technology
Junior Full Stack AI Native Developer-Remote,GNC Management Services,Cairo,False,2026-04-02 00:00:00,17,Creative/Design/Art,Creative/Design/Art,Design/UX,Entry Level (Junior Level / Fresh Grad),1,2,Bachelor's Degree,Full Time,Fully Remote,True,False,False,True,False,False,True,500.0,650.0,25450.0,33085.0,USD,Month,"['Python Development, Full Stack Development, Erp, Github, Information Technology (It), Javascript, Python, React, Bitbucket, Bootstrap, React Native']",,11,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology
Program Developer,CallCentro,Cairo,False,2026-04-02 00:00:00,17,IT/Software,Project/Program Management,IT Management,Experienced (Non-Manager),3,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Business Development, Ruby On Rails, Back-End Development, Front-End Development, Sales Target']",Sales,5,IT/Software Development | Project/Program Management
Senior Product Manager,almentor,Cairo,False,2026-04-02 00:00:00,17,IT/Software,Pure IT,Core IT,Manager,7,7,Bachelor's Degree,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Product Management, Production Engineering, Product Development, New Product Development, Customer Satisfaction']",,5,IT/Software Development | Engineering - Telecom/Technology
IT Support Engineer,Hamza Group,Giza,False,2026-04-01 00:00:00,18,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),1,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It), Software Development']",,3,IT/Software Development | Engineering - Telecom/Technology
Senior Infrastructure Engineer,Naia Developments,Alexandria,False,2026-04-01 00:00:00,18,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),5,5,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It), Architecture, Cisco, Networking, Security, Troubleshooting']",,7,IT/Software Development | Engineering - Telecom/Technology
First Line Application Support Engineer (PACS Administrator),Allamna Integrated Solutions,Cairo,False,2026-04-01 00:00:00,18,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),0,2,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Application Support, Information Technology (It), Technical Support']",,3,IT/Software Development
Oracle developer (E-business) suite,Blue Bell Egypt,Alexandria,False,2026-04-01 00:00:00,18,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Experienced (Non-Manager),2,3,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Oracle E-Business Suite, Oracle Sql, Pl/Sql, Oracle Forms, Oracle Reports, Bi Publisher, Data Migration, System Integration, Technical Documentation, Erp Systems, Database Management, Performance Tuning, User Support, Requirement Analysis']",Problem Solving,14,Installation/Maintenance/Repair | IT/Software Development
Senior Network Engineer,Al Ahly capital holding - Al Ahly Tamkeen,Cairo,False,2026-04-01 00:00:00,18,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,5,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Routing And Switching, Firewall Management, Vpn Configuration, Network Security, Troubleshooting, Network Monitoring, Documentation, Collaboration, Analytical Thinking, Network Design']",,10,IT/Software Development
Tester Team Leader - IT,Premium Card,Giza,False,2026-04-01 00:00:00,18,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,7,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Information Technology (It), Sales Target']",Sales,2,IT/Software Development | Engineering - Telecom/Technology
Oracle SCM Consultant,GB Corp,Giza,False,2026-04-01 00:00:00,18,IT/Software,Logistics/Supply Chain,IT Operations,Experienced (Non-Manager),3,5,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Logistics, Oracle, Supply Chain, Erp']",,4,IT/Software Development | Logistics/Supply Chain
Senior HSE Engineer,Petromin,Cairo,False,2026-03-31 00:00:00,19,IT/Software,Engineering - Mechanical/Electrical,Other IT,Experienced (Non-Manager),5,7,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Health, Safety & Environment (Hse) Management, Risk Assessment, Incident Investigation, Regulatory Compliance, Safety Auditing, Training & Development, Emergency Response Planning, Environmental Monitoring, Report Writing, Team Collaboration']",,11,IT/Software Development | Engineering - Telecom/Technology | Engineering - Mechanical/Electrical
ERP Implementer,Ultimate Solutions Egypt,Giza,False,2026-03-31 00:00:00,19,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),1,2,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Erp, Finance, Implementation, Information Technology (It), Configuration, Testing, Analysis, Training, Troubleshooting, Human Resources (Hr), Hr Systems, Accounting, Business Administration, Commerce, Erp Implementation, Oracle, Sap']",,17,IT/Software Development | Engineering - Telecom/Technology
Senior Oracle Financial Specialist,Akhnaton Trading and distribution - EVA Group Limted,Cairo,False,2026-03-31 00:00:00,19,Accounting/Finance,Accounting/Finance,IT Finance/ERP,Experienced (Non-Manager),3,7,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Accounting, Financial, Oracle, Fusion, Finance']",,5,Accounting/Finance | IT/Software Development
Mid IT Business Analyst,Vertex Technologies,Cairo,False,2026-03-31 00:00:00,19,IT/Software,Analyst/Research,Data/Analytics,Experienced (Non-Manager),2,2,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Business Analysis, Requirements Gathering, Process Modeling, Stakeholder Management, Documentation, Sdlc Knowledge, Analytical Thinking, Agile Methodologies']","Problem Solving, Communication",8,IT/Software Development | Analyst/Research
Mid DevOps Engineer,Vertex Technologies,Cairo,False,2026-03-31 00:00:00,19,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),1,1,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Linux, Network Fundamentals, Web Server Setup, Application Deployments, Database Setup, Cloud Platforms, Git, Docker, Kubernetes, Devops']",,10,IT/Software Development
Integration Engineer,EGYPTENEUR,Cairo,False,2026-03-31 00:00:00,19,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,7,Bachelor's Degree,Part Time,Fully Remote,False,True,False,True,False,False,False,,,,,,,"['Computer Science, Api, Architecture, Banking, Java, Computer Engineering']",,6,IT/Software Development | Engineering - Telecom/Technology
Senior Android Developer,Expert Apps,Cairo,False,2026-03-31 00:00:00,19,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),5,5,Bachelor's Degree,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Android, Back-End, Apis, Information Technology (It), Offline Storage, Restful, Restful Apis, Threading, English, Troubleshooting, Mobile Development, Java, Xml']",Communication,13,IT/Software Development | Engineering - Telecom/Technology
AI Automation & Systems Engineer,Big Life Journal,Cairo,False,2026-03-30 00:00:00,20,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),0,2,Bachelor's Degree,Full Time,Fully Remote,True,False,False,True,False,False,True,250.0,350.0,12725.0,17815.0,USD,Month,"['Automation, Html, Information Systems, Information Technology (It)']",,4,IT/Software Development
Senior IT Specialist,Vantage Developments,Cairo,False,2026-03-30 00:00:00,20,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Experienced (Non-Manager),5,7,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Microsoft Sql Server, Database Systems, Erp System, Crm Software, Helpdesk, Technical Support, Systems Administration, Network Troubleshooting, Cybersecurity']",,9,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology
IT Engineer,Confidential,Giza,True,2026-03-30 00:00:00,20,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Entry Level (Junior Level / Fresh Grad),1,2,Bachelor's Degree,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Information Technology (It), Engineering Principles, Software Development Fundamentals, Fire Alarm Systems, Fire Fighting Systems, Intrusion Detection Systems, Access Control Systems, Cctv Systems, System Maintenance, System Installation, Technical Troubleshooting, Field Service, Project Coordination, Problem-Solving']",,14,Installation/Maintenance/Repair | IT/Software Development
IT Service Specialist,Wadi Degla Clubs,Cairo,False,2026-03-30 00:00:00,20,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),0,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Information Technology (It), Itil, Mcsa, Ccna']","Communication, Problem Solving",4,IT/Software Development
ERP Implementer,ISFP,Alexandria,False,2026-03-30 00:00:00,20,Accounting/Finance,Accounting/Finance,IT Finance/ERP,Experienced (Non-Manager),2,5,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Information Technology (It), Erp, System Analysis, Implementing, Commerce, Implementation']",,6,Accounting/Finance | IT/Software Development | Engineering - Telecom/Technology
Application Support (on-site),ISFP,Alexandria,False,2026-03-30 00:00:00,20,Customer,Customer Service/Support,IT Support,Experienced (Non-Manager),3,7,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Application, Information Technology (It), Customer Support']",Customer Service,3,Customer Service/Support | IT/Software Development
Junior PHP Developer,Vertex Technologies,Cairo,False,2026-03-30 00:00:00,20,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),1,1,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Php, Oop, Mvc, Html, Css, Javascript, Api, Information Technology (It)']",,8,IT/Software Development
Mid FullStack (Python) Developer,Vertex Technologies,Cairo,False,2026-03-30 00:00:00,20,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Python, React, Javascript, Typescript, React.Js, Vue.Js, Software Development']",,7,IT/Software Development
IT Technical Support Specialist,CLS Learning Solutions,Cairo,False,2026-03-30 00:00:00,20,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Experienced (Non-Manager),3,5,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['It Technical Support, It Technical, Information Technology (It), Cisco, Information Security, Mcsa, Mcse, Technical Support, Maintenance, Computer Engineering, Network, Security']",,12,Installation/Maintenance/Repair | IT/Software Development
Second Line Support - Systems & Security Engineer,Confidential,Cairo,True,2026-03-30 00:00:00,20,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),7,7,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Security Engineering, Network Security, Technical Support, Repair, Dns, Dhcp, Mcse']","Customer Service, Customer Support",7,IT/Software Development | Engineering - Telecom/Technology
IT Specialist ( Mokattam Hospital ),Al Ahly Medical Company,Cairo,False,2026-03-30 00:00:00,20,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Experienced (Non-Manager),2,4,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It), Technical Support, Networking']",,4,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology
